image_key,binary_label,n_positive_objects,n_total_clean_objects
-4Kw4AJqOzZG8q5le7bGlQ,0,0,2
-4O4HrtD3sIcgudHF7yr0w,0,0,2
-4O_WLX2axMtPxtjlC5BXQ,0,0,1
-4Slxq285_BqtH35AYtWHQ,0,0,0
-4gtcRinmMXt0PgT-ROzMg,1,1,2
-4oC5IYfYO0_PP9151ALqg,0,0,1
-4qLd1q6_tmJeju_7Adg3Q,0,0,0
-4ymY5COQqgS6hzFD06Urw,0,0,1
-4zB02rM2v8YXtcvXOPykg,0,0,2
-51-bpAblCPlDTamtFZLQw,0,0,0
-53oGBqSn4kQqgrDwnWPvw,0,0,1
-56zu5uX_FDHETpULjj-lg,0,0,0
-5KDcOth7ZSmpeFMNMGC_w,1,1,1
-5Kvk-yPVS5Hb3yXkrWz8g,0,0,0
-5gX3Y-mhtHCPsfAV6pYnw,0,0,0
-5ihylTtxA3-CGKOhyhDmQ,1,1,4
-5nDzLhB4nT9VNVzpLgEOw,0,0,3
-64a-Nxf8KSE2xM9EF90zg,0,0,2
-64oq27S_MC16na-I_mYIw,0,0,0
-6ELIXBsbAjcFUarWGRaow,0,0,1
-6J_2YdS3AQxdTCXSigFSQ,0,0,1
-6ZUAKHcnb1x1wsKR3pk5w,0,0,1
-6d2YY-nBZeBgKEmjZzp5w,0,0,0
-6ie-JRSyamuIYcRWTWZVw,0,0,0
-6oz_FMJdbehx-GD3kjiiA,0,0,1
-6tqApnOi1XwmFswdZVxmQ,0,0,0
-6x1MtfmYzL-4Le88RwwJQ,0,0,0
-7Bt1OY6lXDFhVWl0qexRg,0,0,3
-7DRi7Kw86EWW9qtV76a9Q,0,0,3
-7EfEHwbX48dAkPaqd3P-Q,0,0,0
-7KTSzjHIc2tHq9h53pxRw,0,0,0
-7NpuIYeinCc5Fr5a-8dFw,0,0,1
-7SjgT74jQIMmnmhkbMmrw,0,0,3
-7T6CYXno0XYC4D70Vkw_g,0,0,2
-7UY6VoU92Vw2K170kXwSw,0,0,5
-7njPpiHROkOjrBeSzNiow,1,2,4
-7s0hgNntE9RL5EZbekIAw,0,0,2
-7y_CDOozha64lkj4tf5Rg,0,0,0
-82ovU5S76IGwd3_CH1chA,0,0,0
-82y-KcR6EtdxdkOv5zzuA,0,0,4
-85tgQSn8P_MU20vzrdLUA,0,0,1
-8J4dSioWDgON1b3ELxwXQ,0,0,1
-8OfY0JR8o5dW2olNabnJg,0,0,5
-8TJUFEFlWeNqSE_a0Ebpw,0,0,0
-8gGCNmssKxi0i41jKxvIA,0,0,2
-8yQdwfY_X4tKHyUSYdArQ,0,0,0
-90LVyAGTR2pzUEmy8NY5w,0,0,1
-9MAab41h7dMsjPb8utadA,0,0,3
-9NjstZA2UgoVF2AE0uuQg,1,6,7
-9Rwv8nwRvau53Ravsn3-A,0,0,0
-9aWHPoWcbiAm7sHOaU-_g,0,0,1
-9gmZrHmIvJ-m7IpZmGvWQ,0,0,1
-9m8UAxpfVRpZrWkKBruZg,0,0,0
-9s41VI1tVoMhjTwKUMbnw,0,0,1
-9sWbozs0bnlmVClSaEPvw,0,0,1
-A0I13p2EKUmebBd_o1WAw,0,0,3
-ATWz0SpdpvMc38R_HFEgw,0,0,0
-AUuWD_lvWvxTjoDe545xg,0,0,1
-AcmoBAQMsDGwzmG9tzAJw,0,0,4
-B0k5-dkhan6sBOvgi-o6A,1,2,3
-B1KH1KVfNgqa1WfSAaWYg,0,0,8
-BDX6gq6sr_bMe2xLrzPEA,1,1,2
-BFA9HVpWeUoZDREdSQ7Eg,0,0,4
-BGe0U-lNgr-W-mnd-yhUw,0,0,0
-BIXObU5Dbd_RwSUOSQ5WA,1,1,1
-BIzgkjuczv-2q5clXUaVg,1,1,1
-BSJS6AGCbIkLLFXpAvHIQ,0,0,0
-BcW_AJrB3opgO_6Ede2kg,1,1,1
-BlWD5yiCO2Yi9BLQsRkkg,0,0,2
-BygkkVj5oNMgS1viuEvpQ,0,0,3
-C1lPM6T6LaKifkXB7eTAg,0,0,2
-C9mUcO6bphLgaqZjzCTZQ,0,0,1
-CC75pPrjf5rCiCG24FmHg,0,0,1
-CEcWo6Fr6o5FBwMKCeizQ,0,0,0
-CIrEabtHRJ932_kGkC6HQ,0,0,0
-COCViiIB-6ca6Wl0XIn-g,0,0,0
-CX4W5LvB5AfbrtDnsIuxQ,0,0,0
-Cc-M6XGO-jIka91DUZZUA,0,0,3
-Cdc5GmISZnLzksH9XlC9A,0,0,1
-Cfk18Cao9My07dZ1rZzEA,1,2,6
-CfrqDFWc36stirhsXVMVw,0,0,1
-CmmLJUsRJfiiQlV3LI7yQ,0,0,0
-CrA0D6bdIwFIEwNtVnuWQ,0,0,2
-D7PwwMuQ0K0dH01QKD__g,0,0,1
-DKcxCLAzqQ5yCdj-HkkPw,0,0,2
-DeKckw21jiQYydlp_1FhQ,0,0,0
-DkDObKcNzsTVJxqfFH-3w,0,0,0
-DwASFX0geY4YtJaMlK1nw,1,5,5
-E0pRusIqLhaIkjlZQGXNg,1,1,3
-E8cv0iTzk5F-zg0yKwMbg,0,0,0
-E94nZBXoGVeNSAMOpGXaw,1,1,3
-EPlFxxEEd2JLfJydzWZ8A,0,0,0
-ERU5nErUqQn3JZ6sSGofA,1,2,5
-EYypa8vo5ZHlU79caqQBg,0,0,1
-EjqblKu4cgveH_jSkdztg,0,0,1
-Ema6NTpEn0p7aUzRtNgCg,0,0,1
-EzpmQW9GUw2LmLDXGl4fQ,0,0,0
-FKT0azI0g6Yub7XYKYu2w,0,0,0
-FVezPAoTCWLJri7RybKaw,0,0,2
-FW9otk6yzFq95ZBzOvPDA,0,0,0
-FcbSTfBPTkVq-FzcbVrJQ,1,3,4
-FlA7zq90QLlRtUx0z39yQ,1,2,2
-FoGtcpcd4cf0EgwoJmgow,0,0,0
-Fr894u41zbTDMo6wvSONw,0,0,1
-FulXDrXX4unPGw8zejDjg,0,0,1
-Fvm5-dtX6Yqg6cHVvERKQ,0,0,1
-G06zbMzi8vJS093WblH3Q,0,0,3
-G7SKsSMBgtz9l7dKcVPzw,0,0,0
-GDBtrCLe5pOXIYZ5mHjQA,0,0,0
-GJWHBDrve1oIblcZgiBhQ,0,0,2
-GP8ECVejFQv-ddzQpuEGw,0,0,0
-Gcl9blTgnaiNhpFyBYdJA,0,0,3
-GcyRUxSLj-AxfnjeWRtWg,0,0,0
-Gd_vCHtXNnVJSY1TFQ8RA,0,0,0
-GlCnxIsOP6jAE3bxR3ioA,1,1,3
-GsIwCvO8Z6tpWUZKE3_1A,0,0,0
-GxYFOCn-Xfnljtk30lpIA,0,0,3
-GxqbTHs7kbfF8BJzG5BrQ,0,0,0
-H3LglL88z-bp-2K-vK7jw,0,0,1
-H9cBUiSMBxs5pm3tCGwAg,0,0,1
-HERF590a95wEdVg062CGQ,0,0,1
-HFT-WGo9ftuyGUUm-4zGQ,0,0,4
-HMM6ZkJJr4Wbdr9YS1MzA,0,0,0
-HkGzIG5LbsTaupvMm_-dg,0,0,6
-HorkKVo4zPcPgo1YNdkNg,0,0,1
-HpuceiNDmAW1Y67q5Ncvg,0,0,0
-Hr4o7Zp_OqXe7RJagGHDg,0,0,10
-HsAGr8GTwKUnaszDpq7fg,0,0,0
-Ht9espMhQ76NTS2Xqftqw,0,0,0
-HxcRBMxFcn33sHAUoE7vA,0,0,1
-HxiZJdhRazJDPQ_KpyEdQ,1,3,5
-IB3xu-xSE6GHfkM7oG1pQ,0,0,2
-IB_B75IxIdGyXdmMeTIAA,0,0,0
-ICAhB_M1FXslMMVcAjf_A,0,0,0
-INQ-4ApSB6vVbpb-JMT7A,1,1,2
-INQ_nNdbqqUnEg-FGRjlA,0,0,0
-IU7gmoiGgDNLxpLaF9Ybg,0,0,2
-IWgL4VctdaKvIuZ7Cys0w,0,0,3
-IZdYR0pBiSedmGlTyfFCQ,0,0,0
-IcyhR2u8DJ4qoqXWNrZ1g,1,4,6
-IfAyxZBR0Zv5ptHfgrwpw,0,0,0
-IjYdo55gS-e5I8mdEVraA,0,0,4
-Im2QKDRyFSHxN2e1x0AUg,0,0,4
-J27D0kteq8Y_BEe-090gg,0,0,2
-J3unfvdPv46_rnVHLKyQA,0,0,0
-Jhm3H9jwBwLcSvuRjqKDQ,0,0,0
-Jte1Zyc7KlKZ4O7B54uMQ,0,0,1
-K0VdlQhaTTesOHVB_1Lzw,0,0,2
-K6fDQPDrZriVKQTrkRfeA,0,0,2
-KBwytP9cuD6DRCJRCJ1cA,0,0,0
-KSWpWfl5AGHi9SrOikVqw,0,0,0
-KVHZLWsvCtBVGz3p_XfhQ,0,0,1
-KXFyOAatNKCmT_a5nefGQ,0,0,1
-K_Ry9T5ZZOtGMzqbO9a9g,0,0,1
-K_lNX3D7vmk6yACUCTIFA,0,0,1
-KsJhQA4RkIB3FPp_IStgw,0,0,4
-LHVrC9Abz5A9GqaOW96MQ,0,0,0
-LMVwC0FK_S95DkZHIlMKw,0,0,2
-LQAjPpM4ZlWbR_GiEo-5Q,0,0,1
-LQXWLyVw_nMfog6Sya92w,0,0,1
-LTe_F4UXqhzk5yJ4okT6g,0,0,0
-L_MxrOq7gnQl3v6WjDdwg,1,1,4
-Lb_XyYGcsJQ3AKxWyju1Q,0,0,0
-LcL-ClJ3g7EVg476Cw1MQ,0,0,0
-LfQEKzKsblbDtQzBZGY4Q,0,0,1
-LgR4NM-5Iwb1nnXSPrprQ,0,0,1
-LhbfQFe2jvxrhXS8hrcjg,0,0,0
-LiKvmyd98dmkv-OfItdTQ,0,0,0
-Lnqtnmhg5a0Geqyn4m_gQ,0,0,1
-LqxrUMrnqvpRpiyYFMT6g,0,0,1
-LtOhSguWQXyerbzUN6HpA,0,0,4
-LtQo5edm0gYE_NGNMPdPw,0,0,2
-M4PLgorfyo9MlhgRC-MaA,0,0,0
-M8xsQw2o3hRE_LMu_O0rA,0,0,1
-MBhan9aOnvBYV6DJvU6Dg,0,0,1
-MDovh87v6WPQs_350FD3g,0,0,2
-MGHrk6ifhEZhWCjotCb4A,0,0,1
-MJQ3GLZBCBOXEcppgsmng,0,0,1
-MQ9TPo1O2gdyf9FPPbI1w,0,0,3
-MlU-jgd1aUWgzCSIEi1Yg,0,0,8
-MoLk5A_nC7v8bfgBy3DyA,0,0,1
-MqX3LSwdhOSi2i24vZHMw,0,0,9
-N49EAkm1dtQOBsYCHVCLQ,0,0,1
-NDdpaJqS5GOM-CBrnwifg,0,0,5
-NQmKWfAuPWZt3s7WrwAuQ,0,0,2
-NRs2TX8kBnmjWDeqs7o_A,0,0,1
-NaZlwuVvELCGEN3IOa08Q,0,0,2
-Nd0N0TUUJHsCD-LzvRj9Q,0,0,0
-NfE4oC4yBWZG-xGYrSGvQ,0,0,3
-Nhm4jgJU6RRgYrQVYFebQ,0,0,0
-NkizbRn_6RN49WJO754_A,0,0,0
-NlDx-8bYUsPOLwWYkGQcw,0,0,0
-NltREYBoqFhITN2m3OKhQ,0,0,2
-NwNtJhFViGM59D_ir2HRg,0,0,2
-OFnZf4-3iLhJVoE3xhs7g,0,0,1
-OG52dnk6NNuOkNxA-H3jQ,1,1,2
-OJtL1fk-X49pmhJcPNNfQ,0,0,0
-OZ1iV-Hr9l2CnNVS8tdyQ,0,0,1
-OciQSPc40Vdx8J8YZpi8g,0,0,0
-P1z3gM5DlaNUCdPEjgQ8w,0,0,4
-P6K90q42TZQiITgKSIG0A,0,0,0
-PG83VlQAKdsDJ_f9hmaAQ,1,2,2
-PKOyjdKoA5R_MAMl1ptOg,0,0,4
-PNmnAG0vo-98mXnV-_oSg,0,0,1
-PUy3nGFKhlzjPUyOi5euQ,0,0,0
-PmV4pdjo_iT6cz3dVSXWA,0,0,1
-PnrA4P08MMdvdLxObLzbg,0,0,0
-PqKxWAL4vxVf421ukhC6A,0,0,3
-Ptin61lgGp3fC5JYUdCHg,0,0,2
-Pu204zZGRtGsq7mznKaGw,0,0,2
-Px52B9g9sJ41WT4IcVFvw,0,0,1
-Pz8xWvMzoM_r0zwvIO9Yg,0,0,2
-QBr1T2MWHRitXv3usvR5A,0,0,0
-QEGPeARa9gN_OKKboqYwQ,0,0,2
-QKnsXxdJHkz9zYFMpgMYA,0,0,2
-QYbBofqtuynyTMEhgs_7g,1,1,2
-QZycUbAPJ6CQfGZc1lWrg,1,1,4
-Qe16Ft-ELsQ04G7EJV6kA,0,0,0
-QjzQncXCWx_jPdi0zJn6g,0,0,1
-QqRHmxhAsRa-X3cu1okaQ,0,0,2
-Qti4Fry1PeugBLvV1Rm1A,0,0,1
-QyEBzTTL2-GSAot1dd9vw,0,0,1
-R-Nwiask57pLX85zHLLNQ,0,0,0
-R-XyTljnlzPdA1ktmFJ6w,0,0,0
-R4OdUwzl69TMk3ForowMQ,0,0,3
-R4SPito_6uzUtZVBWAL5A,0,0,1
-R7oTUByCQO0lRQflODV2A,1,1,3
-R9zGwwuOHWDYq9ErFwrhg,0,0,1
-RLOns23d2Ca7nv74pQ-jw,1,1,1
-RMTNRuDwg4kxGgzNxIezg,0,0,0
-RMVw98Z-5pwxo81h_n8KA,0,0,0
-RSg7VNESs-MFXM3Gy7Qxw,0,0,0
-RXDNzx4cpBV22ZoODWTKA,0,0,3
-RaUqsR6w7ucS1-3ZnB_6w,0,0,2
-RbwW1WfI14gtYdUByNgkA,0,0,0
-RcTeq7lYcDSwFMuu1gwKA,0,0,1
-RoQjfIJ6nZfzL4kNjddjw,0,0,1
-RpRI5-lWiAQRqsaX1usCQ,0,0,2
-RqNA0W5fw8QuAbYUvbbNA,1,1,8
-Rt2S_XPxeXb6I26hxXoKg,0,0,0
-Rzz2xkQeTuY0l_7tWvC6Q,0,0,2
-S25eJotq4usbDOyEfNmqQ,0,0,0
-S2P1-GliBlc8Bf6jQU94A,0,0,1
-S9Oqt155rNhen-FVx7Clg,0,0,0
-SB6zcVMqhxzMHVA832p4g,0,0,0
-STo6pJxvcb00JQFsteM7Q,0,0,5
-SW3byR81ZaY1_Vx164gYw,0,0,2
-SrTxVp2RaqH0r8JkNR8fg,0,0,1
-Sw_d4uwKdikHGFYj1_rEQ,0,0,0
-Sxo50mRpkt1XkSQDxfXJQ,0,0,4
-T-QH1EPfwEkJqW2EnPzFA,0,0,4
-TBXUIEoeGRRpcUy9CWhoQ,0,0,4
-TEGJZOXJMZG_iYRhA8zMQ,0,0,3
-TH7w8sR0zwOQNPDHSK72w,0,0,2
-TKsQ2nk46rPSKxV6l2P0Q,0,0,0
-TYDDitHyit_Fhg0I2-54g,0,0,0
-TadRvYfw57-cK62sAUeaw,0,0,1
-TdiGlSGP2F28i1eEBkFeg,0,0,7
-U17_rhtAUGt2NFOUXlYfA,0,0,1
-U1qghw2tvCxP0_TW2XiUQ,1,3,7
-U3j2uznHRgz0UpGiEzUQg,0,0,0
-UNAOyBuBivlUKpDnk3RLQ,0,0,4
-UPOiSbZxKsOFuBkGrjxtA,0,0,3
-UREQne4pnoJHZlTuW7Brw,0,0,2
-USJxUPQMMgHpITpzK0Ptg,1,1,1
-UWs6gMDdr11IYS4h4pikQ,0,0,3
-UpC0UCSsrawKLPXan32yw,0,0,6
-UrryarQA1DQNbe6seQXfA,0,0,0
-Uu9SyEFABUp3SjRoUAVrQ,0,0,4
-UvwIycEctkww1bGC80ezA,0,0,0
-VCeONiRF2tN_A36MQETXQ,0,0,0
-VK7KFiPhWtLyh6rrIRJrQ,0,0,0
-VRxX2SvoshCf-HfLd3C3Q,0,0,0
-VUBUwGswpChB9_CN8IbEQ,0,0,0
-VWdI-7LYe61ckvdQ3d8eg,0,0,3
-VhEfEcfULGANbna04M3BA,0,0,1
-VmfwD5K3SnrnAwUtgqpqg,0,0,2
-VpRbV7o4vm0W1WqgoujDQ,0,0,1
-VsXADw9HOhMb2Jj31GIhA,0,0,0
-VuAX2dtfk9FPaJVoTE5JA,0,0,1
-W-kUohfpFyyFjwPeck9FA,0,0,0
-W26VSfaco1oZUzDhK140A,0,0,0
-WHglMWUXWc6CrMb2P6Esg,0,0,1
-WJm5CcDhXqcmadqNFZe4Q,0,0,0
-WKNjlyFEhjDccX92Sulcg,0,0,2
-WNAzuHizOkQo1ea4DU5rw,0,0,0
-WhIQZI9AL9HSmC5Y9Yg6A,0,0,4
-Wrx-SxVJ3KfiY4-FQohWA,0,0,0
-X-JN13_lDRc5-I2Yxx22A,0,0,1
-X7XPBP65Hzq6u-VZvhktQ,0,0,2
-XHAUmZZZbxqXu5Sg83XEg,0,0,1
-XPLH-IOoP8q2pl86s_K1Q,0,0,0
-XUBH90k8wRpRc3tKNbkZw,0,0,1
-X_hxc3pwecfATYlou9ESw,0,0,0
-Xj5VNqzEyKfxNNGXldoQA,0,0,0
-Xj_gTKAm67tlUUcuT_ruQ,1,1,5
-Xn2vB6a9M7lVlAyHLtR2A,1,1,2
-XokD1NspXZcoBgVcDP4Hw,0,0,2
-XuErYCTuWsZl6NcN2EEvw,0,0,0
-XxOmaa6iLRN46nAPNJKyg,0,0,1
-Xz_b5r7hQLIqOsPBazUZw,0,0,0
-Y1tdC6xu3XsAsDPgqi8Tw,0,0,0
-Y2dYP9xLFN8i_ayxtoihw,0,0,2
-Y2s4tpApvh23poyS3Ogww,0,0,3
-Y7uAzDqnttCBsTpRt_9IQ,0,0,3
-YLG2EmOkOXED7nAnIRYLQ,0,0,0
-YN41acvwGyD8ZZmJCZeKg,0,0,5
-YRpI2_wGE5rF56SZZtKKQ,0,0,1
-YvELmkm13Kzeve0mxJBqw,0,0,3
-YyIJ0K2ggIIkyQP-tW85w,0,0,2
-Z0dOUOHPEWrpieMJQiOkQ,0,0,7
-Z2quoBu35RMLnBUEkGBwg,0,0,0
-ZMz2I0MhN95ZpRsgcJqGg,0,0,4
-ZNXLW53EK6h8rGdK4Qcow,0,0,0
-ZNpBKL3Ny-v7qwQwjfS3g,0,0,1
-ZO4U5Vxxj2jK5cG6ybC7g,0,0,2
-ZWEx3daKy-y2rFAHuXljg,1,1,4
-ZtOXLf_wLObSUO7Df1YbQ,0,0,0
-Zu5yaOYy0-A5oE57V2Uyg,0,0,0
-_90cLOAvCUp-1o9ALcxpg,0,0,1
-_A7HZFIskUUGZOJas29gw,0,0,5
-_Brf7Rw45xeCl2WyZEdtQ,0,0,0
-_EpR6BuSfdj4nO5EIPZnA,0,0,4
-_FpRd7ovckNotmfMXjH1A,0,0,2
-_H-fU2xsfhuvgh-cidAzA,1,1,3
-_dmF2g5W119FBQe2KqFhw,0,0,2
-_vNR1zswT9TbypvR6ZrJw,0,0,0
-a8XFTioG-lcdbJbOhGe2g,0,0,0
-aGQb_-FrVnoSoiKA0wJ3Q,0,0,0
-a_RYgpaeAVjHJc-KJnfug,0,0,1
-am4ZTaSfR52iVrV4GDC0w,0,0,2
-aplBqvo1bbn6B1cv8J7Vg,0,0,1
-asE-g-kqSEenUxYHbzx_w,0,0,5
-atcdeVXyV12nSP3piOdZg,0,0,0
-b3xoojXMvSE3Lw9YHZ55w,0,0,1
-bBjOpEEs8ArSZUuZNg4Vw,1,1,3
-bJ8s5skG4g-BK7vCPGo2Q,0,0,6
-bS1G5NG29MpC22u-IPIVA,0,0,0
-bW3GFly1aS0cGo-21zSBw,0,0,1
-bXax1BcYDfOPNwryRTbFA,0,0,0
-b_t_QdEM_75zP3uaCgaMQ,0,0,1
-bagyBBZ-1RbPIwCtqSNlA,0,0,0
-bb_Ov7jcrXLBUGEjT_Wkw,0,0,4
-bdvBN6YEhVvScDEOjxukA,0,0,2
-beRiLdyaEnBx7oBtGsRwA,1,1,5
-bjS8pTfX1ef5n9IL_h7yA,0,0,1
-borq7259ftPnkkm7L38FQ,0,0,1
-bqCrM4iIRmKRbX9-WEejQ,0,0,3
-bsVfeITzIyGXUMGWUw_ug,0,0,2
-c71BaUBUMKqCqDH4ybnrw,0,0,2
-c7tXIk_mnh885d5L0mahg,0,0,2
-c9SuzQwP_tsh0f9Lg5YdA,0,0,2
-cBnqy-32-BKSQBzSEOuiw,0,0,3
-cDzln7TtlFpTw-hhNBU1A,0,0,0
-cF-GyPpdS5hBAstET7QDA,0,0,0
-cOu9CgYcqWytzymAsYA0A,1,4,4
-cQgiVzBhjcwQssC4bxxew,0,0,4
-cRBiU8qjEr7VZdI0SXjRA,0,0,2
-cREks1ayPzruJy9tL564Q,0,0,0
-caMBMASD4kI3H-pSHLN5w,0,0,1
-ccclvdEnZIO0yc7P7Z4Xg,0,0,0
-ccoREcFcl8uIvk8T9_rSg,0,0,0
-ckhCxJ_nAthVAVkbWLGSw,1,1,1
-ckwD_Ku9-rU_f1fmPwnXg,0,0,1
-cvaoUGuF79wSV0ES6QTKQ,1,2,3
-cxAnSIV--12nraYqbyRUA,0,0,1
-d7Har6xuh-AKN7i5Wu_Pg,0,0,1
-d8-b7dDHKul_Z2X9fla7Q,0,0,2
-d96ZbYd7_KVjb22_nHpkQ,0,0,0
-d9yyVJS1LeMPZs0giY2rg,0,0,0
-dBtqhsBO346niG5o1CXBQ,0,0,2
-dEnca_R0jBIVxuwwKXWHA,0,0,0
-dHC2MM-tUWgqDx_7i5Reg,0,0,5
-dNcWJxAJNh1XpKoAaKopw,0,0,1
-dNqLLA8kJ-uOIevAxD1tA,0,0,0
-d_1nm_Kq-VtagqMBniAEg,0,0,0
-dbyNa028cINUYOe38L9tw,0,0,0
-dxXjzBb0p9C8cVtP0o7qQ,1,2,4
-dzzf720lNVa_aU5MZnqaQ,0,0,0
-e37GNHnSI_MPacS5Tz5UQ,0,0,1
-e6jzPl3AE0Yk-Ra1iXg7A,0,0,1
-eEybHr4IKakSMpFWLR8xg,1,1,2
-eFTjprmbfrSUY6zScWq6A,0,0,3
-eNCsw-0vL2Y2sYGQ8xNeA,0,0,0
-eTXSDNHpQddE2ID13I-jA,0,0,0
-eWxFIP8Kr88-Udk6si_pA,0,0,0
-eYDa6OKnteELoRdPQCMrQ,0,0,1
-eaVMjllJGhmcXDibrMW2w,0,0,1
-edhJiOPKkHYAxdml9r7mg,1,1,6
-f-E_pLApKkjO4LSGPNRQQ,1,2,3
-f1HaW3QKlKYXuYbL8PkMQ,0,0,0
-f3rdhV3peWZHAYhfJPH8g,0,0,1
-f97kCpbvG93rPANS2CFsQ,0,0,2
-fHQB3_g3Wx1lkxiCkkq9Q,0,0,2
-fJOexo6x_iCJ0u6T_BHAA,0,0,1
-fPpT30gwf-5qCY7j16JQQ,0,0,0
-fVkWl6F3dqTvyDz2yteZQ,0,0,3
-fhyNpWPzJxcFznoWSsGpw,0,0,2
-g0lUdhE9D4_hL9QIjF0iQ,0,0,2
-g4pdlv80ZfH_bmdPUo75A,0,0,4
-g7Y-7UwY2LajhPF6fn5fA,0,0,5
-gB4eCfysBhlYe0Ue4-siQ,0,0,0
-gE3xrNqLEKKQeST4f6ojg,0,0,0
-gK-pvlRvue0E8lNXDD4sA,0,0,0
-gU4Ar_6x8KruEwLleRJsA,0,0,0
-gV4nG-7GAoQOLfuxidvEw,0,0,4
-gZR80m2RQa1n2_UaYwJJQ,0,0,1
-g_8NIhGTw0gxRPMF_F0Ig,0,0,0
-gfaKt3opIFajkcBcQS7Vw,0,0,2
-ghl0oCBw0HxzsLVvcAhrw,0,0,0
-gs0FlAFS4V4DaXDlFT7zg,0,0,1
-guDqUwclj8TI2hvKDEL2Q,0,0,1
-gwhgXao-ubGxP7dwtz9Fw,0,0,1
-gyZcPI2UJJk1p6ZjhpaVA,0,0,1
-gz9bOB9baUT7bryLXacMg,0,0,4
-h5rHgibcbyI3eUz6opf8Q,0,0,1
-hDBHU3iFmXjc_YYMpw9TQ,0,0,2
-hDjVQhkN66mT0K4riyxhw,0,0,0
-hEtGWEHuyMG0l6Jh_vvXg,0,0,0
-hgqrMsFPv8bC80Ok2ti0A,1,2,8
-hhRthdzt5Oky4NBR2FNWA,0,0,5
-hjhIpnSIoOs_x7SWN59dg,0,0,0
-hkmts3HQxv4srPCaZpkgg,0,0,3
-huTgIYi6XvMB44O0TY8Fg,0,0,2
-iK47ATQK_kbM2s0tBgx-w,0,0,1
-iLLxXWSjZ0jAPxFLpZl4w,0,0,1
-iSZnal-mpgEoD6FJP3olw,0,0,1
-iaApNcUrzMVk3tDChgSNg,0,0,0
