segment_id,segment_type,segment_label,segment_size,gt_sign_count,gt_meter_count,gt_curb_color_count,has_sign,has_meter,has_curb_color
seg_00070,none,0,5,0,0,0,0,0,0
seg_00071,none,0,5,0,0,0,0,0,0
seg_00072,none,0,5,0,0,0,0,0,0
seg_00073,none,0,5,0,0,0,0,0,0
seg_00074,none,0,5,0,0,0,0,0,0
seg_00075,none,0,5,0,0,0,0,0,0
seg_00076,none,0,5,0,0,0,0,0,0
seg_00077,none,0,5,0,0,0,0,0,0
seg_00078,none,0,5,0,0,0,0,0,0
seg_00079,none,0,5,0,0,0,0,0,0
seg_00080,sign_only,1,5,1,0,0,1,0,0
seg_00081,sign_only,1,5,1,0,0,1,0,0
seg_00082,sign_only,1,5,1,0,0,1,0,0
seg_00083,sign_only,1,5,1,0,0,1,0,0
seg_00084,sign_only,1,5,1,0,0,1,0,0
seg_00085,sign_only,1,5,1,0,0,1,0,0
seg_00086,sign_only,1,5,1,0,0,1,0,0
seg_00087,sign_only,1,5,1,0,0,1,0,0
seg_00088,sign_only,1,5,1,0,0,1,0,0
seg_00089,sign_only,1,5,1,0,0,1,0,0
seg_00090,sign_only,1,5,1,0,0,1,0,0
seg_00091,sign_only,1,5,1,0,0,1,0,0
seg_00092,sign_only,1,5,1,0,0,1,0,0
seg_00093,sign_only,1,5,1,0,0,1,0,0
seg_00094,sign_only,1,5,1,0,0,1,0,0
seg_00095,sign_only,1,5,1,0,0,1,0,0
seg_00096,sign_only,1,5,1,0,0,1,0,0
seg_00097,sign_only,1,5,1,0,0,1,0,0
seg_00098,sign_only,1,5,1,0,0,1,0,0
seg_00099,sign_only,1,5,1,0,0,1,0,0
seg_00100,sign_only,1,5,1,0,0,1,0,0
seg_00101,sign_only,1,5,1,0,0,1,0,0
seg_00102,sign_only,1,5,1,0,0,1,0,0
seg_00103,sign_only,1,5,1,0,0,1,0,0
seg_00104,sign_only,1,5,1,0,0,1,0,0
seg_00105,sign_only,1,5,1,0,0,1,0,0
seg_00106,sign_only,1,5,1,0,0,1,0,0
seg_00107,sign_only,1,5,1,0,0,1,0,0
seg_00108,sign_only,1,5,1,0,0,1,0,0
seg_00109,sign_only,1,5,1,0,0,1,0,0
seg_00110,sign_only,1,5,1,0,0,1,0,0
seg_00111,sign_only,1,5,1,0,0,1,0,0
seg_00112,sign_only,1,5,1,0,0,1,0,0
seg_00113,sign_only,1,5,1,0,0,1,0,0
seg_00114,sign_only,1,5,1,0,0,1,0,0
seg_00115,sign_only,1,5,1,0,0,1,0,0
seg_00116,sign_only,1,5,1,0,0,1,0,0
seg_00117,sign_only,1,5,1,0,0,1,0,0
seg_00118,sign_only,1,5,1,0,0,1,0,0
seg_00119,sign_only,1,5,1,0,0,1,0,0
seg_00120,sign_only,1,5,1,0,0,1,0,0
seg_00121,sign_only,1,5,1,0,0,1,0,0
seg_00122,sign_only,1,5,1,0,0,1,0,0
seg_00123,sign_only,1,5,1,0,0,1,0,0
seg_00124,sign_only,1,5,1,0,0,1,0,0
seg_00125,sign_only,1,5,1,0,0,1,0,0
seg_00126,sign_only,1,5,1,0,0,1,0,0
seg_00127,sign_only,1,5,1,0,0,1,0,0
seg_00128,sign_only,1,5,1,0,0,1,0,0
seg_00129,sign_only,1,5,1,0,0,1,0,0
seg_00130,meter_only,1,5,0,1,0,0,1,0
seg_00131,meter_only,1,5,0,1,0,0,1,0
seg_00132,meter_only,1,5,0,1,0,0,1,0
seg_00133,meter_only,1,5,0,1,0,0,1,0
seg_00134,meter_only,1,5,0,1,0,0,1,0
seg_00135,meter_only,1,5,0,1,0,0,1,0
seg_00136,meter_only,1,5,0,1,0,0,1,0
seg_00137,meter_only,1,5,0,1,0,0,1,0
seg_00138,meter_only,1,5,0,1,0,0,1,0
seg_00139,meter_only,1,5,0,1,0,0,1,0
seg_00140,meter_only,1,5,0,1,0,0,1,0
seg_00141,meter_only,1,5,0,1,0,0,1,0
seg_00142,meter_only,1,5,0,1,0,0,1,0
seg_00143,meter_only,1,5,0,1,0,0,1,0
seg_00144,meter_only,1,5,0,1,0,0,1,0
seg_00145,curb_only,1,5,0,0,1,0,0,1
seg_00146,curb_only,1,5,0,0,1,0,0,1
seg_00147,curb_only,1,5,0,0,1,0,0,1
seg_00148,curb_only,1,5,0,0,1,0,0,1
seg_00149,curb_only,1,5,0,0,1,0,0,1
seg_00150,curb_only,1,5,0,0,1,0,0,1
seg_00151,curb_only,1,5,0,0,1,0,0,1
seg_00152,curb_only,1,5,0,0,1,0,0,1
seg_00153,curb_only,1,5,0,0,1,0,0,1
seg_00154,curb_only,1,5,0,0,1,0,0,1
seg_00155,curb_only,1,5,0,0,1,0,0,1
seg_00156,curb_only,1,5,0,0,1,0,0,1
seg_00157,curb_only,1,5,0,0,1,0,0,1
seg_00158,curb_only,1,5,0,0,1,0,0,1
seg_00159,curb_only,1,5,0,0,1,0,0,1
seg_00160,curb_only,1,5,0,0,1,0,0,1
seg_00161,curb_only,1,5,0,0,1,0,0,1
seg_00162,curb_only,1,5,0,0,1,0,0,1
seg_00163,curb_only,1,5,0,0,1,0,0,1
seg_00164,curb_only,1,5,0,0,1,0,0,1
seg_00165,curb_only,1,5,0,0,1,0,0,1
seg_00166,curb_only,1,5,0,0,1,0,0,1
seg_00167,curb_only,1,5,0,0,1,0,0,1
seg_00168,curb_only,1,5,0,0,1,0,0,1
seg_00169,curb_only,1,5,0,0,1,0,0,1
seg_00170,sign_meter,1,5,1,1,0,1,1,0
seg_00171,sign_meter,1,5,1,1,0,1,1,0
seg_00172,sign_meter,1,5,1,1,0,1,1,0
seg_00173,sign_meter,1,5,1,1,0,1,1,0
seg_00174,sign_meter,1,5,1,1,0,1,1,0
seg_00175,sign_meter,1,5,1,1,0,1,1,0
seg_00176,sign_meter,1,5,1,1,0,1,1,0
seg_00177,sign_meter,1,5,1,1,0,1,1,0
seg_00178,sign_meter,1,5,1,1,0,1,1,0
seg_00179,sign_meter,1,5,1,1,0,1,1,0
seg_00180,sign_meter,1,5,1,1,0,1,1,0
seg_00181,sign_meter,1,5,1,1,0,1,1,0
seg_00182,sign_meter,1,5,1,1,0,1,1,0
seg_00183,sign_meter,1,5,1,1,0,1,1,0
seg_00184,sign_meter,1,5,1,1,0,1,1,0
seg_00185,sign_curb,1,5,1,0,1,1,0,1
seg_00186,sign_curb,1,5,1,0,1,1,0,1
seg_00187,sign_curb,1,5,1,0,1,1,0,1
seg_00188,sign_curb,1,5,1,0,1,1,0,1
seg_00189,sign_curb,1,5,1,0,1,1,0,1
seg_00190,sign_curb,1,5,1,0,1,1,0,1
seg_00191,sign_curb,1,5,1,0,1,1,0,1
seg_00192,sign_curb,1,5,1,0,1,1,0,1
seg_00193,sign_curb,1,5,1,0,1,1,0,1
seg_00194,sign_curb,1,5,1,0,1,1,0,1
seg_00195,sign_curb,1,5,1,0,1,1,0,1
seg_00196,sign_curb,1,5,1,0,1,1,0,1
seg_00197,sign_curb,1,5,1,0,1,1,0,1
seg_00198,sign_curb,1,5,1,0,1,1,0,1
seg_00199,sign_curb,1,5,1,0,1,1,0,1
seg_00200,sign_curb,1,5,1,0,1,1,0,1
seg_00201,sign_curb,1,5,1,0,1,1,0,1
seg_00202,sign_curb,1,5,1,0,1,1,0,1
seg_00203,sign_curb,1,5,1,0,1,1,0,1
seg_00204,sign_curb,1,5,1,0,1,1,0,1
seg_00205,meter_curb,1,5,0,1,1,0,1,1
seg_00206,meter_curb,1,5,0,1,1,0,1,1
seg_00207,meter_curb,1,5,0,1,1,0,1,1
seg_00208,meter_curb,1,5,0,1,1,0,1,1
seg_00209,meter_curb,1,5,0,1,1,0,1,1
seg_00210,meter_curb,1,5,0,1,1,0,1,1
seg_00211,meter_curb,1,5,0,1,1,0,1,1
seg_00212,meter_curb,1,5,0,1,1,0,1,1
seg_00213,meter_curb,1,5,0,1,1,0,1,1
seg_00214,meter_curb,1,5,0,1,1,0,1,1
seg_00215,sign_meter_curb,1,5,1,1,1,1,1,1
seg_00216,sign_meter_curb,1,5,1,1,1,1,1,1
seg_00217,sign_meter_curb,1,5,1,1,1,1,1,1
seg_00218,sign_meter_curb,1,5,1,1,1,1,1,1
seg_00219,sign_meter_curb,1,5,1,1,1,1,1,1
seg_00220,sign_meter_curb,1,5,1,1,1,1,1,1
seg_00221,sign_meter_curb,1,5,1,1,1,1,1,1
seg_00222,sign_meter_curb,1,5,1,1,1,1,1,1
seg_00223,sign_meter_curb,1,5,1,1,1,1,1,1
seg_00224,sign_meter_curb,1,5,1,1,1,1,1,1
